Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_SPH_OUTR_13_INR_8_DT_JSW_B1.LOG,1,2.863539,0.34346,3,-2.114667,2.474459,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_13_INR_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.87,0.336514,2,-2.19627,2.827138,3,2,0,2,0,0
H_SPH_OUTR_14_INR_1_DT_JSW_B1.LOG,1,6,0,6,0,0,2,6,0,6,0,0,3,6,0,6,0,0
H_SPH_OUTR_14_INR_10_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2.334091,0.547803,3,-0.022066,-0.74563,3,2.372727,0.483805,3,0.525535,-1.72577
H_SPH_OUTR_14_INR_11_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_14_INR_12_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_14_INR_13_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_14_INR_2_DT_JSW_B1.LOG,1,6,0,6,0,0,2,6,0,6,0,0,3,6,0,6,0,0
H_SPH_OUTR_14_INR_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_14_INR_4_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_14_INR_5_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_14_INR_6_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3.995283,0.068545,4,-14.439956,206.674759,3,3.998428,0.039637,4,-25.129856,630.005005
H_SPH_OUTR_14_INR_7_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_14_INR_8_DT_JSW_B1.LOG,1,2.964093,0.186141,3,-4.981997,22.840796,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_14_INR_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2.981557,0.134614,3,-7.147284,49.134014,3,2.981557,0.134614,3,-7.147284,49.134014
H_SPH_OUTR_15_INR_1_DT_JSW_B1.LOG,1,6.982123,0.132542,7,-7.270969,50.895435,2,6.982123,0.132542,7,-7.270969,50.895435,3,6.982123,0.132542,7,-7.270969,50.895435
H_SPH_OUTR_15_INR_10_DT_JSW_B1.LOG,1,2.277182,0.961185,3,-0.57631,-1.669144,2,3,0,3,0,0,3,3,0,3,0,0
