Filename,main_th,main_th_sd,main_th_min,main_th_max
H_SPH_OUTR_15_INR_3_OVERSAMPLE_SKEL,5.07367362,0.094958391,4.242640687,5.099019514
H_SPH_OUTR_15_INR_4_OVERSAMPLE_SKEL,5.068038726,0.111515486,4.242640687,5.099019514
H_SPH_OUTR_15_INR_5_OVERSAMPLE_SKEL,4.488664133,0.538606118,3.16227766,5
H_SPH_OUTR_15_INR_6_OVERSAMPLE_SKEL,4.25930295,0.767931726,3,5
H_SPH_OUTR_15_INR_7_OVERSAMPLE_SKEL,3.144726832,0.050399165,3,3.16227766
H_SPH_OUTR_15_INR_8_OVERSAMPLE_SKEL,2.928082824,0.392394258,1.414213562,3.16227766
H_SPH_OUTR_15_INR_9_OVERSAMPLE_SKEL,2.040694274,0.643908582,1.414213562,3
H_SPH_OUTR_16_INR_1_OVERSAMPLE_SKEL,6.827466056,0.966421131,1.414213562,7
H_SPH_OUTR_16_INR_10_OVERSAMPLE_SKEL,2.551618743,0.668046752,1.414213562,3
H_SPH_OUTR_16_INR_11_OVERSAMPLE_SKEL,1.388918078,0.099186044,1,1.414213562
H_SPH_OUTR_16_INR_12_OVERSAMPLE_SKEL,1.335639093,0.162396625,1,1.414213562
H_SPH_OUTR_16_INR_13_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_16_INR_14_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_16_INR_15_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_16_INR_2_OVERSAMPLE_SKEL,6.827466056,0.966421131,1.414213562,7
H_SPH_OUTR_16_INR_3_OVERSAMPLE_SKEL,5.15542935,0.074166465,5,5.196152423
H_SPH_OUTR_16_INR_4_OVERSAMPLE_SKEL,5.079274993,0.039563199,5,5.099019514
H_SPH_OUTR_16_INR_5_OVERSAMPLE_SKEL,4.739797467,0.419895104,3.16227766,5
H_SPH_OUTR_16_INR_6_OVERSAMPLE_SKEL,4.743558386,0.372572527,3.16227766,5
H_SPH_OUTR_16_INR_7_OVERSAMPLE_SKEL,3.462517193,0.45042062,3,4.242640687
H_SPH_OUTR_16_INR_8_OVERSAMPLE_SKEL,3.18235874,0.140826548,1.414213562,3.31662479
H_SPH_OUTR_16_INR_9_OVERSAMPLE_SKEL,2.925374645,0.506207155,1.414213562,3.16227766
H_SPH_OUTR_17_INR_1_OVERSAMPLE_SKEL,6.85300562,0.894131906,1.414213562,7
H_SPH_OUTR_17_INR_10_OVERSAMPLE_SKEL,3.040954171,0.324141465,1.414213562,3.16227766
H_SPH_OUTR_17_INR_11_OVERSAMPLE_SKEL,1.937622856,0.643614301,1.414213562,3
H_SPH_OUTR_17_INR_12_OVERSAMPLE_SKEL,1.841434566,0.703536415,1.414213562,3
H_SPH_OUTR_17_INR_13_OVERSAMPLE_SKEL,1.327279852,0.168676175,1,1.414213562
H_SPH_OUTR_17_INR_14_OVERSAMPLE_SKEL,1.097189774,0.175531964,1,1.414213562
H_SPH_OUTR_17_INR_15_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_17_INR_16_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_17_INR_2_OVERSAMPLE_SKEL,6.85300562,0.894131906,1.414213562,7
H_SPH_OUTR_17_INR_3_OVERSAMPLE_SKEL,6.4327854,0.628065124,5.099019514,7
H_SPH_OUTR_17_INR_4_OVERSAMPLE_SKEL,6.426537008,0.609932255,5,7
H_SPH_OUTR_17_INR_5_OVERSAMPLE_SKEL,4.999731041,0.295891701,3.16227766,5.099019514
H_SPH_OUTR_17_INR_6_OVERSAMPLE_SKEL,5.036281799,0.192277433,4.242640687,5.099019514
H_SPH_OUTR_17_INR_7_OVERSAMPLE_SKEL,4.382132041,0.510416099,3.16227766,5
H_SPH_OUTR_17_INR_8_OVERSAMPLE_SKEL,4.029546803,0.77529086,3.16227766,5
H_SPH_OUTR_17_INR_9_OVERSAMPLE_SKEL,3.157166345,0.275470879,1.414213562,3.31662479
H_SPH_OUTR_18_INR_1_OVERSAMPLE_SKEL,6.85300562,0.894131906,1.414213562,7
H_SPH_OUTR_18_INR_10_OVERSAMPLE_SKEL,3.162278561,0.115062307,1.414213562,3.31662479
H_SPH_OUTR_18_INR_11_OVERSAMPLE_SKEL,2.821931499,0.563349794,1.414213562,3.16227766
H_SPH_OUTR_18_INR_12_OVERSAMPLE_SKEL,2.153473481,0.702338756,1.414213562,3
