Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_CYL_OUTR_16_INR_1_LEN_162.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_172.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_182.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_192.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_2.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_CYL_OUTR_16_INR_1_LEN_22.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_32.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_42.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_52.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_62.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_72.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_82.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_1_LEN_92.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_CYL_OUTR_16_INR_11_LEN_102.LOG,1,1,0,1,0,0,2,2.831699,0.374152,3,-1.772891,1.14326,3,2.831699,0.374152,3,-1.772891,1.14326
H_CYL_OUTR_16_INR_11_LEN_112.LOG,1,1,0,1,0,0,2,2.831845,0.374021,3,-1.774309,1.148278,3,2.831845,0.374021,3,-1.774309,1.148278
H_CYL_OUTR_16_INR_11_LEN_12.LOG,1,1,0,1,0,0,2,2.819444,0.384817,3,-1.658801,0.752278,3,2.819444,0.384817,3,-1.658801,0.752278
H_CYL_OUTR_16_INR_11_LEN_122.LOG,1,1,0,1,0,0,2,2.831967,0.373911,3,-1.775494,1.152479,3,2.831967,0.373911,3,-1.775494,1.152479
H_CYL_OUTR_16_INR_11_LEN_132.LOG,1,1,0,1,0,0,2,2.832071,0.373818,3,-1.776501,1.156049,3,2.832071,0.373818,3,-1.776501,1.156049
H_CYL_OUTR_16_INR_11_LEN_142.LOG,1,1,0,1,0,0,2,2.83216,0.373738,3,-1.777368,1.159123,3,2.83216,0.373738,3,-1.777368,1.159123
H_CYL_OUTR_16_INR_11_LEN_152.LOG,1,1,0,1,0,0,2,2.832237,0.373669,3,-1.778121,1.161793,3,2.832237,0.373669,3,-1.778121,1.161793
H_CYL_OUTR_16_INR_11_LEN_162.LOG,1,1,0,1,0,0,2,2.832304,0.373608,3,-1.778781,1.164136,3,2.832304,0.373608,3,-1.778781,1.164136
H_CYL_OUTR_16_INR_11_LEN_172.LOG,1,1,0,1,0,0,2,2.832364,0.373554,3,-1.779365,1.166209,3,2.832364,0.373554,3,-1.779365,1.166209
H_CYL_OUTR_16_INR_11_LEN_182.LOG,1,1,0,1,0,0,2,2.832417,0.373506,3,-1.779884,1.168054,3,2.832417,0.373506,3,-1.779884,1.168054
