Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
PLATE_WIDTH_11_LEN_43_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_11_LEN_45_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_11_LEN_47_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_11_LEN_49_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_11_LEN_5_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9.983573,0.127176,10,-7.596947,55.770851,3,9.983573,0.127176,10,-7.596947,55.770851
PLATE_WIDTH_11_LEN_7_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_11_LEN_9_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
PLATE_WIDTH_12_LEN_11_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_13_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_15_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_17_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_19_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_21_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_23_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_25_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_27_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_29_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,6,0,6,0,0,3,6,0,6,0,0
PLATE_WIDTH_12_LEN_31_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_33_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_35_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_37_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_39_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_41_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_43_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_45_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_47_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_49_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_5_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9.983573,0.127176,10,-7.596947,55.770851,3,9.983573,0.127176,10,-7.596947,55.770851
PLATE_WIDTH_12_LEN_7_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_12_LEN_9_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
PLATE_WIDTH_13_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
PLATE_WIDTH_13_LEN_11_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_13_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_15_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_17_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_19_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_21_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_23_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_25_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_27_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_29_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,6,0,6,0,0,3,6,0,6,0,0
PLATE_WIDTH_13_LEN_31_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_33_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_35_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_37_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_39_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_41_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_43_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_45_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_47_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_49_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_5_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9.983573,0.127176,10,-7.596947,55.770851,3,9.983573,0.127176,10,-7.596947,55.770851
PLATE_WIDTH_13_LEN_7_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_13_LEN_9_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
PLATE_WIDTH_14_LEN_11_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_13_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_15_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_17_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_19_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_21_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_23_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_25_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_27_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_29_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,6,0,6,0,0,3,6,0,6,0,0
PLATE_WIDTH_14_LEN_31_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_33_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_35_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_37_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_39_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_41_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_43_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_45_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_47_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_49_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_5_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9.983573,0.127176,10,-7.596947,55.770851,3,9.983573,0.127176,10,-7.596947,55.770851
PLATE_WIDTH_14_LEN_7_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_14_LEN_9_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
PLATE_WIDTH_15_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
PLATE_WIDTH_15_LEN_11_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_13_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_15_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_17_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_19_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_21_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_23_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_25_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_27_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_29_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,6,0,6,0,0,3,6,0,6,0,0
PLATE_WIDTH_15_LEN_31_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
PLATE_WIDTH_15_LEN_33_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
